('4616.95', '1457.76')
('4644.68', '1459.21')
('4672.40', '1459.21')
('4703.05', '1459.21')
('4726.40', '1459.21')
('4754.12', '1459.21')
('4781.85', '1459.21')
('4809.57', '1459.21')
('4835.84', '1459.21')
('4863.56', '1459.21')
('4891.29', '1460.67')
('4919.01', '1460.67')
('4946.74', '1462.13')
('4974.46', '1462.13')
('5002.19', '1462.13')
('5028.45', '1462.13')
('5056.18', '1463.59')
('5083.90', '1462.13')
('5111.63', '1463.59')
('5139.35', '1463.59')
('5165.62', '1463.59')
('5194.80', '1465.05')
('5221.07', '1465.05')
('5248.79', '1465.05')
('5279.44', '1465.05')
('5304.24', '1465.05')
('5331.97', '1466.51')
('5359.69', '1466.51')
('5385.96', '1466.51')
('5413.69', '1466.51')
('5441.41', '1466.51')
('5469.14', '1466.51')
('5496.86', '1466.51')
('5524.59', '1467.97')
('5550.85', '1467.97')
('5578.58', '1467.97')
('5606.30', '1467.97')
('5634.03', '1469.43')
('5661.75', '1467.97')
('5690.94', '1469.43')
('5717.20', '1469.43')
('5744.93', '1470.89')
('5772.65', '1470.89')
('5797.46', '1470.89')
('5826.64', '1470.89')
('5852.91', '1470.89')
('5880.63', '1470.89')
('5908.36', '1470.89')
('5934.63', '1472.35')
('5962.35', '1472.35')
('5990.08', '1472.35')
('6017.80', '1472.35')
('6045.53', '1472.35')
('6071.79', '1472.35')
('6099.52', '1472.35')
('6127.24', '1472.35')
('6154.97', '1473.81')
('6182.69', '1473.81')
('6210.42', '1473.81')
('6236.68', '1475.27')
('6264.41', '1475.27')
('6292.13', '1475.27')
('6319.86', '1475.27')
('6346.12', '1476.73')
('6373.85', '1476.73')
('6401.57', '1476.73')
('6429.30', '1476.73')
('6457.02', '1478.18')
('6483.29', '1478.18')
('6511.02', '1478.18')
('6538.74', '1478.18')
('6566.47', '1478.18')
('6594.19', '1479.64')
('6620.46', '1479.64')
('6648.18', '1479.64')
('6675.91', '1479.64')
('6703.63', '1479.64')
('6729.90', '1479.64')
('6757.62', '1481.10')
('6785.35', '1481.10')
('6813.07', '1481.10')
('6840.80', '1481.10')
('6868.52', '1482.56')
('6894.79', '1482.56')
('6922.51', '1482.56')
('6948.78', '1482.56')
('6976.50', '1484.02')
('7004.23', '1484.02')
('7031.95', '1484.02')
('7059.68', '1484.02')
('7085.95', '1484.02')
('7113.67', '1485.48')
('7141.40', '1485.48')
('7169.12', '1485.48')
('7195.39', '1485.48')
('7223.11', '1485.48')
('7250.84', '1486.94')
('7278.56', '1486.94')
('7304.83', '1486.94')
('7332.55', '1486.94')
('7360.28', '1486.94')
('7388.00', '1486.94')
('7415.73', '1486.94')
('7441.99', '1488.40')
('7469.72', '1489.86')
('7497.44', '1489.86')
('7606.89', '1489.86')
('7633.15', '1489.86')
('7523.71', '1491.32')
('7551.44', '1491.32')
('7579.16', '1491.32')
('7660.88', '1491.32')
('7688.60', '1491.32')
('7716.33', '1491.32')
('7744.05', '1492.78')
('7770.32', '1492.78')
('7798.04', '1492.78')
('7825.77', '1494.24')
('7853.49', '1494.24')
('7881.22', '1494.24')
('7907.48', '1494.24')
